LLM_A,LLM_B,chi2,p_value,discordant_b,discordant_c,method,p_adjusted,significant
gpt5,claude_sonnet,2.6666666666666665,0.21875,1,5,exact,1.0,False
gpt5,claude_opus,3.5714285714285716,0.125,1,6,exact,1.0,False
gpt5,jdeodorant,5.0,0.0625,5,0,exact,1.0,False
gpt5,Gemini,10.285714285714286,0.0018310546875,1,13,exact,0.06591796875,False
gpt5,anticopypaster,5.0,0.0625,5,0,exact,1.0,False
gpt5,deepseek,6.4,0.021484375,1,9,exact,0.7734375,False
gpt5,gpt4o,0.14285714285714285,1.0,3,4,exact,1.0,False
gpt5,gpt3_5,15.0,6.103515625e-05,0,15,exact,0.002197265625,True
claude_sonnet,claude_opus,0.14285714285714285,1.0,3,4,exact,1.0,False
claude_sonnet,jdeodorant,9.0,0.00390625,9,0,exact,0.140625,False
claude_sonnet,Gemini,8.0,0.0078125,0,8,exact,0.28125,False
claude_sonnet,anticopypaster,9.0,0.00390625,9,0,exact,0.140625,False
claude_sonnet,deepseek,2.6666666666666665,0.21875,1,5,exact,1.0,False
claude_sonnet,gpt4o,3.0,0.25,3,0,exact,1.0,False
claude_sonnet,gpt3_5,11.0,0.0009765625,0,11,exact,0.03515625,True
claude_opus,jdeodorant,10.0,0.001953125,10,0,exact,0.0703125,False
claude_opus,Gemini,4.454545454545454,0.0654296875,2,9,exact,1.0,False
claude_opus,anticopypaster,10.0,0.001953125,10,0,exact,0.0703125,False
claude_opus,deepseek,0.8181818181818182,0.548828125,4,7,exact,1.0,False
claude_opus,gpt4o,2.0,0.2890625,6,2,exact,1.0,False
claude_opus,gpt3_5,10.0,0.001953125,0,10,exact,0.0703125,False
jdeodorant,Gemini,17.0,1.52587890625e-05,0,17,exact,0.00054931640625,True
jdeodorant,anticopypaster,0.0,1.0,0,0,perfect agreement,1.0,False
jdeodorant,deepseek,13.0,0.000244140625,0,13,exact,0.0087890625,True
jdeodorant,gpt4o,6.0,0.03125,0,6,exact,1.0,False
jdeodorant,gpt3_5,20.0,1.9073486328125e-06,0,20,exact,6.866455078125e-05,True
Gemini,anticopypaster,17.0,1.52587890625e-05,17,0,exact,0.00054931640625,True
Gemini,deepseek,2.0,0.2890625,6,2,exact,1.0,False
Gemini,gpt4o,11.0,0.0009765625,11,0,exact,0.03515625,True
Gemini,gpt3_5,3.0,0.25,0,3,exact,1.0,False
anticopypaster,deepseek,13.0,0.000244140625,0,13,exact,0.0087890625,True
anticopypaster,gpt4o,6.0,0.03125,0,6,exact,1.0,False
anticopypaster,gpt3_5,20.0,1.9073486328125e-06,0,20,exact,6.866455078125e-05,True
deepseek,gpt4o,5.444444444444445,0.0390625,8,1,exact,1.0,False
deepseek,gpt3_5,7.0,0.015625,0,7,exact,0.5625,False
gpt4o,gpt3_5,14.0,0.0001220703125,0,14,exact,0.00439453125,True
